sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level
BOXING,107.7,173.36,110.58,55.39,5.91,179.38,0.7148,0,0,0,0,0
CYCLING,69.16,97.22,94.36,138.72,41.1,156.66,0.5661,0,1,1,1,2
CRICKET,121.01,158.13,109.79,112.83,43.96,163.84,0.7129,0,1,1,0,1
GYMNASTICS,110.49,125.2,118.35,95.67,46.79,159.76,0.7679,1,0,0,1,1
TENNIS,104.6,112.27,112.19,91.28,30.1,162.27,0.4809,1,1,1,1,2
AMERICAN_FOOTBALL,55.14,68.95,100.31,124.79,54.26,154.68,0.6754,0,0,1,1,2
RUGBY,83.89,151.94,95.08,94.82,27.73,170.18,0.7224,0,0,0,0,0
AMERICAN_FOOTBALL,78.94,66.96,129.55,88.45,83.72,136.57,0.4956,1,1,1,1,3
SOCCER,157.61,112.12,121.74,27.16,25.0,170.55,0.8682,0,0,0,0,0
BOXING,54.16,94.25,80.68,73.24,41.57,123.85,0.1835,1,1,0,1,3
SWIMMING,166.45,138.93,128.96,73.68,35.99,164.3,0.8585,0,0,0,0,0
OTHER,56.37,140.35,152.98,135.01,28.67,156.31,0.6343,1,1,1,0,2
BADMINTON,139.24,123.74,143.25,95.78,48.3,150.75,0.4286,1,1,1,0,2
CYCLING,78.78,123.66,127.34,42.05,60.47,150.68,0.4953,1,1,1,0,2
HOCKEY,73.94,121.79,118.49,44.16,26.71,162.86,0.7964,0,0,0,1,1
SWIMMING,110.0,96.78,165.14,82.96,13.45,166.15,0.8976,1,0,0,0,0
CYCLING,98.91,92.84,90.06,86.93,18.22,180.17,0.8238,0,0,0,0,0
TRACK,114.17,128.62,101.93,26.78,59.3,162.56,0.5699,1,1,0,0,2
VOLLEYBALL,61.3,89.0,75.9,108.1,79.62,120.69,0.1077,1,1,1,1,3
BASEBALL,84.85,122.35,149.71,107.66,18.71,173.19,0.6326,0,1,0,0,1
TRACK,35.51,64.95,81.71,25.86,56.81,126.68,0.516,1,1,0,1,3
AMERICAN_FOOTBALL,94.18,95.17,151.24,95.17,23.0,177.64,0.8335,0,0,0,0,0
SOCCER,82.66,74.76,82.47,136.03,57.63,155.65,0.5723,1,1,1,1,2
WRESTLING,93.24,80.78,104.63,105.45,24.74,155.61,0.7639,0,0,0,1,1
BASKETBALL,157.24,150.86,170.1,48.29,26.39,177.88,0.9055,0,0,0,0,0
CYCLING,159.88,163.07,134.47,59.27,9.42,169.67,0.8576,0,0,0,0,0
SOCCER,61.86,68.45,82.66,111.05,86.56,138.35,0.3688,1,1,1,1,3
BASKETBALL,45.58,61.92,93.29,29.52,84.04,142.69,0.2698,0,1,1,1,3
WRESTLING,124.81,91.4,167.68,39.15,22.39,169.58,0.8733,0,0,0,0,0
AMERICAN_FOOTBALL,100.18,99.23,136.27,84.36,28.69,172.93,0.8967,0,0,1,0,0
TRACK,95.71,39.35,81.51,75.34,78.34,148.9,0.1397,0,1,1,1,3
WRESTLING,148.76,118.77,98.39,73.1,29.0,166.0,0.7941,0,0,0,0,0
SOCCER,67.88,44.33,134.89,41.56,63.37,120.56,0.1918,1,1,1,1,3
AMERICAN_FOOTBALL,102.61,93.78,84.57,123.43,57.55,156.28,0.6208,1,1,0,0,2
TENNIS,77.03,98.41,164.14,39.66,53.97,146.58,0.6553,1,1,0,0,2
VOLLEYBALL,104.34,122.91,161.1,113.02,30.79,160.58,0.5599,1,1,1,1,2
WRESTLING,82.36,161.42,116.71,66.85,32.02,179.4,0.8081,0,0,0,0,0
TENNIS,132.83,78.79,155.43,127.32,38.84,146.82,0.6518,1,1,0,0,2
SWIMMING,141.05,173.59,161.75,69.5,26.35,163.93,0.7946,0,0,0,0,0
BASEBALL,82.52,111.43,105.71,65.82,29.9,157.45,0.6483,1,1,1,1,2
BOXING,169.26,154.17,114.41,56.59,27.43,164.13,0.7157,0,0,0,0,0
CYCLING,122.37,137.67,130.25,88.67,44.13,145.93,0.6477,1,1,1,1,2
OTHER,83.52,54.28,106.52,29.85,53.94,133.44,0.3799,0,1,1,1,3
WRESTLING,69.99,66.21,122.14,37.6,45.36,125.37,0.3822,1,1,0,1,3
BASEBALL,143.1,102.29,102.96,52.21,33.66,164.19,0.9226,0,0,0,0,0
RUGBY,84.22,41.08,113.75,50.73,84.89,150.35,0.1523,1,1,0,1,3
WRESTLING,86.13,69.0,122.84,63.25,59.0,155.59,0.5495,0,0,1,1,2
SWIMMING,97.12,130.18,150.84,97.69,59.38,158.52,0.5606,1,1,1,1,2
VOLLEYBALL,89.94,89.75,147.71,70.43,48.27,170.57,0.5953,0,1,0,0,1
RUGBY,80.74,131.58,90.98,80.55,31.02,171.7,0.8158,0,0,0,1,1
WRESTLING,85.29,100.73,121.74,159.09,45.85,124.14,0.2062,1,1,1,1,3
TRACK,156.66,126.83,94.36,59.62,24.56,180.06,0.7602,0,0,0,0,0
BASKETBALL,69.92,113.35,83.4,70.71,39.43,149.12,0.5877,1,1,0,0,2
VOLLEYBALL,164.78,114.92,156.11,32.84,19.06,171.85,0.8453,0,0,0,0,0
CYCLING,84.24,98.68,103.91,21.08,42.04,155.8,0.5363,0,1,1,1,2
VOLLEYBALL,82.02,62.9,107.61,155.48,76.73,122.82,0.1202,1,1,1,1,3
VOLLEYBALL,105.99,92.88,115.56,74.27,36.84,163.11,0.6837,0,1,0,0,1
BADMINTON,146.92,154.92,115.7,102.08,29.84,160.73,0.7367,1,0,0,0,1
RUGBY,163.48,120.01,166.33,91.57,34.06,160.89,0.6221,0,1,0,0,1
TRACK,29.56,98.85,136.82,132.86,50.32,120.05,0.1647,1,1,1,1,3
OTHER,135.81,67.99,88.43,90.66,60.29,163.11,0.504,1,0,1,1,2
GYMNASTICS,149.56,139.42,153.19,89.82,26.82,174.5,0.8795,0,0,1,0,0
BADMINTON,63.44,68.64,116.61,53.51,80.71,143.63,0.447,1,1,1,0,3
BASKETBALL,138.45,133.82,163.09,25.08,17.32,165.94,0.5921,1,0,0,0,1
BASEBALL,150.9,103.0,130.31,113.36,44.58,169.82,0.8173,1,0,0,0,1
HOCKEY,30.48,57.62,149.52,23.88,69.66,121.62,0.1517,1,1,1,1,3
BASKETBALL,105.6,112.26,151.1,96.37,34.06,152.54,0.6689,1,1,1,0,2
BASKETBALL,132.33,131.71,94.01,90.42,13.23,180.54,0.8534,0,0,0,0,0
GYMNASTICS,79.42,141.39,90.24,37.49,59.04,154.81,0.5525,1,1,1,1,2
BOXING,124.02,121.87,126.66,122.03,42.93,159.32,0.5681,1,1,1,1,2
CRICKET,102.78,92.83,103.24,79.82,3.2,181.51,0.8094,0,0,0,0,0
SWIMMING,77.95,89.42,139.87,101.97,48.49,162.42,0.6225,0,1,1,0,2
WRESTLING,157.86,150.34,107.58,39.03,4.3,166.27,0.8732,0,0,0,0,0
TENNIS,120.06,155.81,148.78,68.82,3.87,168.46,0.9031,0,0,0,0,0
CYCLING,67.87,78.02,95.34,67.46,34.9,146.29,0.5125,0,1,0,1,2
BADMINTON,104.63,81.09,169.8,96.26,45.05,146.28,0.5988,1,0,1,0,2
TRACK,111.0,116.3,143.08,67.66,56.88,159.93,0.558,1,1,1,1,2
BOXING,98.3,163.06,124.27,57.02,24.2,166.11,0.9423,1,0,0,0,0
SOCCER,91.64,159.86,157.75,90.15,37.91,171.34,0.5841,0,0,0,1,1
GYMNASTICS,60.66,61.86,151.16,72.19,48.02,144.72,0.4073,1,1,1,1,3
SOCCER,100.13,102.56,118.04,101.98,49.14,164.09,0.6441,1,1,0,1,2
BASEBALL,101.62,115.4,168.48,66.98,15.33,175.98,0.7949,0,0,0,0,0
BASEBALL,39.74,43.93,145.72,33.34,51.74,131.86,0.3557,0,1,1,1,3
HOCKEY,73.31,103.03,109.55,53.31,27.62,165.34,0.7789,0,0,0,1,1
BADMINTON,159.66,123.47,155.46,113.75,19.35,160.68,0.6383,0,0,1,1,1
RUGBY,154.5,107.61,155.39,54.15,27.67,173.23,0.6567,1,1,0,0,1
TRACK,140.97,90.12,165.46,73.47,16.43,170.16,0.8241,0,0,0,0,0
BOXING,83.21,113.94,111.51,115.53,33.39,160.55,0.4426,1,1,0,1,2
CYCLING,140.61,140.26,137.53,101.71,46.53,162.9,0.6699,0,1,1,0,1
TRACK,114.7,123.78,166.59,88.11,33.31,160.94,0.4659,0,1,0,1,2
BOXING,85.67,92.3,116.88,82.47,36.57,171.71,0.7091,0,0,0,0,0
SWIMMING,47.88,73.67,95.26,139.27,85.51,123.21,0.2137,1,1,1,1,3
BOXING,64.45,53.72,123.76,47.51,56.71,125.95,0.449,1,1,1,1,3
TRACK,94.87,90.21,93.76,34.05,53.86,126.94,0.1852,1,1,1,1,3
BASEBALL,74.07,91.85,90.23,93.12,40.91,145.0,0.3405,1,1,1,1,3
RUGBY,87.4,128.95,118.29,99.09,28.92,159.54,0.6408,0,0,0,1,1
SOCCER,87.29,96.94,134.83,100.83,56.3,155.84,0.5207,0,1,0,1,2
CRICKET,105.04,128.36,165.83,29.79,17.77,169.31,0.8563,0,0,0,0,0
HOCKEY,143.88,128.44,141.91,98.03,7.19,180.4,0.7001,0,0,0,0,0
CYCLING,89.89,83.21,97.55,35.28,82.95,143.27,0.2423,1,1,1,1,3
AMERICAN_FOOTBALL,103.43,91.48,174.53,93.46,12.77,172.71,0.9841,0,0,0,0,0
BASKETBALL,116.11,98.7,127.03,47.59,45.9,160.43,0.513,1,1,1,1,2
CYCLING,95.89,116.02,150.1,108.41,30.69,158.73,0.628,0,1,0,0,1
BOXING,92.97,53.59,110.69,92.01,60.02,122.22,0.1011,1,1,1,1,3
BOXING,144.05,127.83,87.25,63.2,12.53,170.08,0.7796,1,0,0,0,1
RUGBY,165.16,122.5,110.84,84.36,7.44,176.78,0.7639,0,0,0,0,0
SWIMMING,128.44,112.87,106.92,63.48,18.36,162.49,0.8343,0,0,0,0,0
TRACK,95.89,135.93,162.18,22.31,27.07,151.14,0.5289,1,1,1,1,2
WRESTLING,25.51,75.56,76.6,60.68,43.29,130.61,0.2096,1,1,1,1,3
CRICKET,102.32,143.49,142.0,76.26,46.31,160.1,0.5574,0,0,1,1,2
GYMNASTICS,83.19,63.2,105.38,151.57,84.99,149.58,0.3782,1,1,1,1,3
AMERICAN_FOOTBALL,45.41,60.21,78.99,100.63,66.53,132.76,0.5194,1,1,1,1,3
WRESTLING,140.64,117.63,102.44,54.39,35.76,145.6,0.5213,1,1,1,0,2
CYCLING,28.92,71.7,134.9,98.82,67.18,136.47,0.1916,1,1,1,1,3
VOLLEYBALL,61.52,78.76,116.08,130.6,64.68,130.9,0.2311,1,1,1,1,3
GYMNASTICS,157.48,154.22,133.65,66.51,36.16,174.97,0.6367,0,1,0,0,1
BOXING,90.6,125.46,126.41,80.02,31.38,165.21,0.7362,0,1,0,0,1
GYMNASTICS,61.0,70.03,133.63,33.85,63.06,144.36,0.3522,1,1,1,1,3
VOLLEYBALL,132.38,97.59,147.62,38.13,14.07,176.67,0.7665,0,0,0,0,0
BOXING,119.89,102.63,148.5,87.04,46.63,164.12,0.437,1,1,0,1,2
WRESTLING,134.57,101.09,144.31,80.83,63.34,155.59,0.6482,1,0,0,1,2
AMERICAN_FOOTBALL,84.78,111.54,151.37,66.83,38.4,154.94,0.5294,0,1,1,0,2
OTHER,160.83,146.16,108.78,50.43,10.43,165.61,0.7385,1,0,0,0,0
TENNIS,72.26,37.36,113.55,28.25,74.93,137.3,0.1837,1,0,1,1,3
CRICKET,68.37,112.2,90.97,33.92,45.07,157.38,0.7863,1,0,0,1,1
CRICKET,88.48,145.23,112.42,95.57,12.11,175.0,0.7182,0,0,0,0,0
AMERICAN_FOOTBALL,143.99,90.96,145.58,71.23,4.83,180.78,0.7378,0,0,0,0,0
GYMNASTICS,90.04,90.19,137.05,115.52,47.77,166.1,0.6873,0,0,0,1,1
CYCLING,133.64,100.34,149.3,32.02,30.46,176.61,0.9438,0,0,0,0,0
TRACK,59.62,39.5,122.32,25.79,59.72,121.82,0.4716,1,1,1,1,3
OTHER,66.26,100.63,146.27,113.43,55.43,150.78,0.5483,0,1,0,1,2
TENNIS,131.35,70.44,156.97,110.57,25.46,146.31,0.6199,1,1,1,0,2
BASKETBALL,87.26,97.63,118.62,152.93,81.57,146.51,0.1602,1,0,1,1,3
CYCLING,46.78,51.39,134.82,71.36,81.18,142.99,0.3692,0,1,1,1,3
SWIMMING,101.29,162.57,137.7,57.08,22.92,167.1,0.7532,1,0,1,0,1
OTHER,81.61,112.44,148.1,49.67,15.18,162.5,0.7678,1,0,0,0,1
CRICKET,102.02,106.13,169.54,139.86,31.35,154.93,0.4922,1,0,0,1,2
GYMNASTICS,103.58,105.43,83.47,129.23,33.7,160.07,0.4264,1,1,0,0,2
HOCKEY,114.24,108.98,139.36,129.26,46.48,162.78,0.4504,0,1,0,1,2
BOXING,133.16,158.34,169.42,65.5,29.38,164.61,0.7207,0,0,0,0,0
BASKETBALL,161.29,150.54,118.55,30.78,20.54,168.57,0.8511,0,0,0,0,0
BADMINTON,78.37,121.3,133.35,67.11,22.41,174.82,0.9349,0,0,0,0,0
BASEBALL,138.39,127.28,81.46,68.66,36.2,145.67,0.6632,1,1,0,1,2
OTHER,89.41,36.55,92.88,29.2,60.8,130.44,0.4889,0,1,1,1,3
SOCCER,140.89,137.44,158.22,99.29,61.63,152.17,0.4393,1,1,1,0,2
BADMINTON,86.83,71.5,108.5,139.45,54.03,130.08,0.2799,1,1,1,1,3
BADMINTON,101.12,93.33,160.02,34.76,41.44,155.63,0.617,0,1,0,1,2
BOXING,75.06,64.69,94.32,94.82,80.98,128.09,0.4425,1,0,1,1,3
BASEBALL,138.08,111.0,153.97,58.63,48.77,167.39,0.6622,0,1,0,0,1
BASEBALL,91.43,107.92,81.35,119.98,86.26,138.49,0.4203,1,1,1,1,3
WRESTLING,120.09,161.85,143.04,111.9,47.38,174.87,0.6526,0,1,0,0,1
BASEBALL,96.62,86.82,152.45,115.49,41.69,130.26,0.1493,1,1,1,1,3
CRICKET,106.16,121.9,160.24,29.33,48.49,173.22,0.7489,0,0,0,1,1
RUGBY,105.66,113.46,166.22,85.2,30.54,156.37,0.6097,1,0,1,0,1
TRACK,111.98,107.49,113.66,113.02,59.71,164.82,0.6501,0,1,0,1,2
GYMNASTICS,120.7,84.59,164.47,78.16,48.09,156.63,0.4941,1,1,1,1,2
BASEBALL,160.48,163.37,135.85,57.34,42.57,168.06,0.662,0,1,0,0,1
TRACK,125.56,114.88,147.27,35.61,19.88,162.15,0.8179,0,0,0,0,0
AMERICAN_FOOTBALL,159.74,121.2,172.79,110.63,32.01,165.58,0.7807,0,0,1,0,1
BOXING,105.85,121.99,120.01,43.05,30.49,175.3,0.8974,0,0,0,0,0
SOCCER,93.57,72.14,137.44,24.84,26.37,157.13,0.6446,1,1,1,1,2
AMERICAN_FOOTBALL,102.12,67.31,106.59,55.73,39.4,159.49,0.6786,0,1,0,1,2
BASEBALL,148.1,157.49,150.06,46.98,37.97,164.73,0.7722,0,0,0,0,0
SOCCER,126.06,146.4,172.56,112.05,48.26,170.19,0.6234,1,1,0,0,1
BADMINTON,97.14,95.5,94.09,48.99,42.32,145.96,0.5765,1,1,0,1,2
SOCCER,24.09,105.66,138.76,82.51,72.25,124.17,0.2053,1,1,1,1,3
TENNIS,66.31,97.73,129.18,45.24,77.08,124.22,0.1305,1,1,1,1,3
TENNIS,128.96,123.44,107.26,39.94,40.57,162.96,0.5866,0,0,0,1,1
SOCCER,79.44,61.61,116.37,86.58,75.41,124.57,0.1236,1,1,1,1,3
BOXING,53.17,93.8,112.87,74.84,68.09,149.81,0.389,0,1,1,1,3
RUGBY,73.88,132.62,95.36,55.94,41.24,167.56,0.6378,0,1,0,1,1
SWIMMING,54.35,99.89,125.39,125.73,59.36,124.03,0.1585,1,1,1,1,3
TRACK,98.37,92.51,166.56,43.72,21.66,171.3,0.7677,0,0,0,1,0
BADMINTON,34.86,90.17,120.65,82.71,84.71,148.49,0.3319,1,1,1,1,3
TRACK,122.8,116.61,153.26,60.43,47.39,165.13,0.7078,0,1,0,0,1
BOXING,77.07,133.62,157.11,30.13,15.06,172.05,0.8269,0,1,0,0,0
SOCCER,96.35,141.47,150.02,20.72,12.63,166.13,0.7113,0,0,0,0,0
BASKETBALL,64.96,100.27,106.53,96.5,52.29,155.5,0.442,1,1,0,0,2
BOXING,140.81,100.33,153.86,42.19,57.65,151.6,0.4591,1,1,0,0,2
RUGBY,41.86,103.1,100.95,137.13,76.28,129.03,0.1347,1,1,1,1,3
GYMNASTICS,168.45,117.45,100.21,81.61,25.89,176.99,0.8353,0,0,0,0,0
HOCKEY,142.95,115.99,140.67,30.25,20.2,172.77,0.6361,1,0,0,0,1
TRACK,104.29,105.0,145.94,80.12,10.97,174.74,0.6035,0,1,0,0,1
BASEBALL,103.52,133.86,128.91,80.01,8.86,177.96,0.9504,0,0,0,0,0
SOCCER,94.37,94.36,98.41,68.31,35.87,163.44,0.5638,0,1,1,1,2
VOLLEYBALL,45.17,67.23,89.69,113.74,87.66,124.77,0.2252,1,1,1,1,3
WRESTLING,93.29,173.38,94.87,97.47,14.84,167.17,0.9998,0,0,0,0,0
GYMNASTICS,54.15,109.92,137.44,145.39,81.36,137.41,0.3292,1,1,1,1,3
TENNIS,104.19,150.85,135.32,41.8,13.11,158.33,0.6614,0,0,1,0,1
VOLLEYBALL,121.3,127.03,116.46,32.31,7.12,175.74,0.763,0,0,0,0,0
OTHER,144.6,137.9,110.73,136.26,51.75,150.74,0.5948,0,1,1,0,2
GYMNASTICS,68.84,144.33,141.94,76.51,50.91,148.91,0.4569,1,1,0,1,2
CYCLING,127.84,128.28,102.35,63.72,34.71,173.39,0.7106,0,0,0,0,0
BADMINTON,131.15,102.71,107.88,21.51,52.73,156.08,0.5202,0,1,1,1,2
BASKETBALL,97.82,130.29,134.89,49.42,36.18,169.04,0.8361,0,0,0,0,0
SWIMMING,139.06,109.48,147.36,90.09,36.08,171.5,0.7721,0,0,0,0,0
GYMNASTICS,131.77,104.46,169.43,62.96,30.5,168.82,0.9199,0,0,0,0,0
BADMINTON,147.32,88.81,151.85,22.27,44.81,173.85,0.7185,1,0,0,0,1
SWIMMING,142.95,106.83,130.87,72.25,4.12,173.34,0.9903,1,0,0,0,0
TRACK,113.49,110.59,87.33,126.79,35.48,147.07,0.5252,1,1,0,1,2
OTHER,75.59,108.07,153.9,100.67,57.83,157.06,0.6792,1,1,0,0,2
BASKETBALL,143.39,152.59,154.25,69.0,6.16,176.95,0.7321,0,0,0,0,0
SWIMMING,79.1,85.06,136.63,51.27,33.33,163.15,0.5342,1,0,1,0,2
AMERICAN_FOOTBALL,67.76,109.3,88.36,25.36,33.78,171.29,0.6681,0,1,0,0,1
BASEBALL,80.87,47.11,146.78,152.04,82.33,149.03,0.2344,1,1,1,0,3
VOLLEYBALL,90.66,170.16,173.51,81.64,10.98,172.54,0.974,0,0,0,0,0
BASKETBALL,89.36,90.35,146.27,114.9,54.48,162.37,0.677,0,1,1,0,2
BOXING,136.85,134.0,156.86,40.98,37.58,179.98,0.8299,0,0,0,0,0
OTHER,130.58,90.88,85.89,106.48,49.38,173.16,0.784,1,1,0,0,1
CYCLING,99.04,102.95,135.02,153.19,88.96,138.48,0.2705,1,1,1,1,3
VOLLEYBALL,84.14,138.03,147.13,31.01,47.85,163.89,0.623,1,1,1,1,2
SWIMMING,87.56,72.66,83.11,116.7,45.28,137.61,0.1675,1,1,1,1,3
CYCLING,120.92,116.56,147.4,86.96,38.08,145.09,0.6596,1,0,1,1,2
TENNIS,54.62,51.87,136.82,42.49,62.56,141.07,0.3693,1,1,1,1,3
CYCLING,22.25,105.36,153.29,146.32,58.93,145.05,0.3036,1,1,1,1,3
TRACK,154.23,112.5,151.87,50.56,30.48,181.06,0.8097,0,0,0,0,0
TRACK,120.62,90.67,99.96,48.94,50.89,158.8,0.6662,1,1,0,0,2
CYCLING,135.4,91.22,146.12,114.2,61.48,155.85,0.5031,1,1,0,1,2
AMERICAN_FOOTBALL,158.76,161.11,134.36,56.17,43.17,157.01,0.819,0,1,0,0,1
CYCLING,111.06,79.67,101.27,67.62,50.76,163.23,0.5109,0,1,1,1,2
GYMNASTICS,122.32,107.69,113.21,89.29,50.61,158.89,0.613,1,1,0,1,2
SWIMMING,77.68,102.94,170.42,85.37,13.34,163.03,0.963,0,0,0,0,0
AMERICAN_FOOTBALL,84.81,97.53,143.92,58.05,7.32,163.98,0.8007,0,0,0,0,0
BASEBALL,75.84,56.58,142.38,113.43,89.86,143.12,0.1069,1,1,1,1,3
BASKETBALL,107.18,143.26,144.49,23.6,35.73,174.04,0.5973,1,1,0,0,1
CYCLING,101.29,134.94,173.62,42.02,8.49,179.38,0.7251,0,0,0,0,0
BOXING,161.89,134.39,98.02,29.27,18.98,161.68,0.8015,0,0,1,1,1
CRICKET,22.47,43.39,96.92,64.31,49.72,148.65,0.2516,1,1,1,0,3
BASKETBALL,30.92,66.42,96.71,44.48,67.56,132.07,0.3762,1,1,1,1,3
OTHER,84.71,95.42,119.1,56.87,52.15,163.82,0.5504,0,1,1,0,2
SWIMMING,148.15,125.72,144.21,37.05,18.77,155.68,0.8031,0,1,0,0,1
HOCKEY,124.7,157.47,112.3,62.32,45.44,169.79,0.6841,0,1,0,0,1
SWIMMING,65.82,111.7,152.51,127.03,27.33,154.7,0.5288,1,0,1,1,2
AMERICAN_FOOTBALL,56.61,76.86,91.93,55.63,87.03,129.11,0.2534,1,1,1,0,3
BASKETBALL,81.41,103.46,75.93,104.96,53.66,139.26,0.4431,1,1,1,1,3
SWIMMING,95.26,138.07,119.47,59.59,25.22,166.45,0.7318,0,1,0,0,1
TENNIS,150.32,99.11,148.3,93.18,11.31,163.01,0.634,1,0,0,1,1
CRICKET,22.0,44.53,131.64,104.14,63.46,145.38,0.1422,1,1,1,1,3
SOCCER,66.08,35.04,79.42,123.27,40.72,127.92,0.2761,0,1,1,1,3
WRESTLING,21.95,58.9,136.02,147.74,87.03,144.17,0.1122,1,1,1,1,3
RUGBY,49.03,103.5,123.61,84.96,44.15,126.12,0.3545,1,1,1,1,3
BOXING,138.56,94.8,119.56,139.62,62.18,152.15,0.6167,1,1,0,0,2
WRESTLING,137.27,80.46,135.54,35.47,41.81,146.29,0.4693,1,1,1,0,2
SWIMMING,128.4,91.07,124.1,75.84,25.95,169.0,0.726,0,0,0,0,0
AMERICAN_FOOTBALL,129.84,97.55,102.12,44.11,5.23,164.35,0.7006,0,0,0,0,0
RUGBY,93.99,126.84,126.4,57.77,44.54,158.35,0.788,0,1,0,0,1
VOLLEYBALL,154.61,153.15,92.35,99.67,22.69,163.11,0.7153,0,0,0,0,0
OTHER,76.41,84.24,154.03,114.78,28.65,161.79,0.4426,1,1,0,0,2
GYMNASTICS,135.88,126.27,94.13,42.63,17.91,168.62,0.77,1,1,0,0,1
RUGBY,98.11,72.71,133.16,91.78,55.45,133.95,0.4095,1,0,1,1,3
AMERICAN_FOOTBALL,124.67,103.86,94.34,75.61,34.79,169.73,0.9895,0,0,0,0,0
GYMNASTICS,163.97,99.64,94.05,73.19,26.28,169.88,0.8575,0,0,0,0,0
TRACK,90.23,108.73,141.5,61.99,48.6,172.29,0.7155,0,1,0,0,1
BOXING,114.43,103.77,100.56,111.48,48.3,162.55,0.691,0,1,0,0,1
TENNIS,66.38,65.49,138.43,124.21,68.38,145.97,0.1335,1,1,1,1,3
GYMNASTICS,32.59,75.36,76.85,107.96,88.81,142.62,0.1787,1,1,1,1,3
TRACK,102.42,133.86,126.52,55.98,48.75,157.67,0.7846,0,0,0,1,1
BOXING,164.65,160.26,135.93,70.32,20.8,169.44,0.5916,0,1,0,1,1
BOXING,169.91,118.28,102.19,39.59,27.19,176.09,0.8884,0,0,0,0,0
VOLLEYBALL,139.25,169.44,102.67,50.56,27.7,181.44,0.9738,0,0,0,0,0
VOLLEYBALL,77.17,121.63,92.03,45.49,26.8,173.44,0.607,0,1,0,0,1
BOXING,151.93,94.13,174.72,30.25,46.4,160.07,0.7677,0,0,1,0,1
BASKETBALL,74.58,81.98,103.03,32.11,39.75,156.83,0.8119,1,1,0,0,1
SOCCER,102.08,87.01,142.39,64.47,18.51,168.06,0.7543,1,1,0,0,1
GYMNASTICS,144.11,122.6,94.4,39.88,34.72,165.26,0.7951,1,1,0,0,1
CRICKET,77.34,127.03,91.16,66.33,2.03,170.92,0.8223,0,0,1,1,0
TRACK,58.09,91.76,117.97,24.18,61.62,156.39,0.6556,0,1,1,0,2
BADMINTON,75.94,40.94,88.67,37.94,48.78,126.69,0.197,1,1,1,1,3
CRICKET,147.61,148.05,120.57,93.99,29.23,164.44,0.9239,0,0,0,0,0
CYCLING,88.84,67.5,107.82,101.2,48.69,140.03,0.1669,1,1,1,1,3
HOCKEY,66.2,91.56,161.02,29.97,47.74,159.2,0.6772,0,0,1,1,2
OTHER,88.73,42.43,139.44,82.28,58.28,149.47,0.1542,0,1,1,1,3
HOCKEY,123.38,128.63,169.95,59.19,20.15,177.88,0.9921,0,0,0,0,0
OTHER,29.46,101.05,127.43,102.57,42.35,126.1,0.1069,1,1,1,1,3
SOCCER,20.93,54.27,79.23,102.81,42.06,126.03,0.3274,1,1,1,1,3
TENNIS,76.75,103.82,77.56,96.82,57.6,138.21,0.4362,1,1,1,0,3
RUGBY,108.42,162.06,111.53,67.84,16.2,180.1,0.9322,0,0,0,0,0
BASKETBALL,59.31,38.27,99.7,36.82,47.49,149.98,0.1804,1,1,1,1,3
RUGBY,84.3,85.49,86.83,60.36,46.52,154.11,0.4226,1,1,0,0,2
HOCKEY,107.64,78.19,90.07,42.72,58.44,155.94,0.4398,0,1,1,1,2
HOCKEY,144.0,65.97,100.25,63.28,36.82,154.94,0.4769,0,1,1,1,2
CYCLING,138.28,66.48,84.81,126.04,28.21,164.93,0.487,0,1,1,0,2
HOCKEY,70.55,101.69,103.78,33.25,84.49,126.72,0.2291,1,1,1,1,3
SOCCER,115.64,144.32,84.33,132.83,27.83,160.04,0.5849,0,1,1,0,2
BASEBALL,111.61,154.82,98.62,95.0,13.31,160.54,0.7398,0,1,0,0,1
TRACK,49.76,50.86,92.44,100.87,73.34,124.14,0.1257,1,1,1,1,3
AMERICAN_FOOTBALL,75.28,79.64,150.86,79.44,26.58,164.8,0.4613,1,1,1,0,2
BOXING,116.65,134.64,139.31,86.46,40.77,150.86,0.4316,1,1,1,0,2
CYCLING,125.32,70.63,97.05,62.56,28.9,155.28,0.5727,1,0,1,0,2
SOCCER,94.18,106.82,108.42,98.42,65.34,141.55,0.1605,1,1,1,1,3
TRACK,126.89,127.81,84.47,79.55,64.72,156.14,0.4274,1,1,1,0,2
BOXING,75.84,163.72,105.87,59.69,3.86,176.73,0.8553,0,0,0,0,0
CYCLING,122.48,107.04,131.22,87.86,56.65,154.65,0.6319,1,1,1,1,2
BASEBALL,66.37,120.09,147.51,59.92,42.6,170.47,0.6759,0,0,0,1,1
CYCLING,74.45,135.62,147.77,85.14,30.09,160.34,0.757,0,1,0,0,1
CRICKET,95.19,133.95,162.12,44.95,25.0,165.1,0.9748,0,0,0,0,0
CYCLING,61.4,52.85,96.63,25.86,81.74,133.28,0.3447,1,1,1,1,3
OTHER,31.56,71.58,109.47,150.24,77.87,127.53,0.4286,1,1,1,1,3
AMERICAN_FOOTBALL,81.58,164.97,119.42,34.13,32.56,155.52,0.8155,0,1,0,0,1
CYCLING,80.95,91.07,125.5,84.19,43.47,169.88,0.6563,0,1,0,0,1
GYMNASTICS,85.99,109.81,163.31,102.19,57.54,155.12,0.5983,0,1,1,1,2
